scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
ground_rot_45,scene_0304,46,196,0.23469387755102042,0.23039746284484863,0.23077227175235748,0.11145136505365372,-0.018842652440071106,0.38657888770103455,0.06662405282258987,0.36596840620040894
ground_rot_45,scene_0305,8,196,0.04081632653061224,0.19984059035778046,0.1979808807373047,0.07998199015855789,0.03504662215709686,0.3132927417755127,0.10878636687994003,0.2811911404132843
ground_rot_45,scene_0306,35,196,0.17857142857142858,0.19061687588691711,0.20358847081661224,0.11857660114765167,-0.06858263909816742,0.4741553068161011,0.024681054055690765,0.3142791986465454
ground_rot_45,scene_0307,22,196,0.11224489795918367,0.12135456502437592,0.15505701303482056,0.16386643052101135,-0.1882975846529007,0.42438000440597534,-0.08845192939043045,0.32564613223075867
ground_rot_45,scene_0308,36,196,0.1836734693877551,0.18733900785446167,0.20965135097503662,0.14045649766921997,-0.20884302258491516,0.39302825927734375,-0.01755160465836525,0.34526312351226807
ground_rot_45,scene_0309,48,196,0.24489795918367346,0.251845121383667,0.23899684846401215,0.11377778649330139,-0.03851769492030144,0.4936668574810028,0.139829620718956,0.38669705390930176
ground_rot_45,scene_0310,16,196,0.08163265306122448,0.1558505892753601,0.18243765830993652,0.1289377510547638,-0.0793895423412323,0.39538997411727905,-0.0007087662816047668,0.2958114743232727
ground_rot_45,scene_0311,9,196,0.04591836734693878,0.24328626692295074,0.3056088387966156,0.11188800632953644,-0.019708208739757538,0.3425026535987854,0.09801647812128067,0.3328169882297516
ground_rot_45,scene_0312,38,196,0.19387755102040816,0.349973201751709,0.3723801076412201,0.14464932680130005,0.05287299305200577,0.6115047931671143,0.14844270050525665,0.5099970102310181
ground_rot_45,scene_0313,11,196,0.05612244897959184,0.4576146602630615,0.4498339891433716,0.1574275642633438,0.21226947009563446,0.697919487953186,0.287541925907135,0.6417658925056458
ground_rot_45,scene_0314,28,196,0.14285714285714285,0.22196857631206512,0.22542360424995422,0.12169017642736435,-0.05122644454240799,0.451150506734848,0.07221835851669312,0.36680981516838074
ground_rot_45,scene_0315,24,196,0.12244897959183673,0.1419225037097931,0.13536494970321655,0.0995185524225235,-0.004167154431343079,0.34356510639190674,0.018090130761265755,0.27495628595352173
